TipoPlanta,Estacion,Milímetros Acum desde siembra,RotaAux,HojaRota,ColorHoja,FormaLesion,Enferma,Enferma bool
ARROZ,Primavera,70,P0,Si,Verde,Ovalado,NoEnferma,0
MAIZ,Verano,96,V0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Otonio,89,O0,Si,Verde,NoLesion,NoEnferma,0
ARROZ,Primavera,56,P1,Si,Verde,Longitudinal,Enferma,1
MAIZ,Otonio,75,O0,Si,Amarilla,NoLesion,NoEnferma,0
ARROZ,Otonio,114,O0,No,Amarronada,NoLesion,NoEnferma,0
ARROZ,Otonio,120,O1,Si,Verde,Circular,Enferma,1
ARROZ,Invierno,40,I0,No,Amarilla,Longitudinal,NoEnferma,0
ARROZ,Primavera,96,P1,Si,Amarronada,Ovalado,Enferma,1
MAIZ,Verano,103,V1,Si,Amarilla,Longitudinal,Enferma,1
MAIZ,Verano,101,V0,Si,Amarronada,NoLesion,NoEnferma,0
MAIZ,Invierno,32,I1,No,Amarilla,Circular,Enferma,1
MAIZ,Primavera,88,P1,Si,Amarronada,Longitudinal,Enferma,1
MAIZ,Otonio,61,O1,Si,Amarronada,Longitudinal,Enferma,1
MAIZ,Verano,94,V1,Si,Amarilla,Ovalado,Enferma,1
ARROZ,Primavera,92,P1,Si,Rojiza,NoLesion,Enferma,1
ARROZ,Verano,109,V1,Si,Verde,Longitudinal,Enferma,1
ARROZ,Verano,106,V1,Si,Rojiza,Longitudinal,Enferma,1
MAIZ,Verano,102,V0,Si,Amarilla,Circular,NoEnferma,0
MAIZ,Verano,98,V0,Si,Rojiza,Ovalado,NoEnferma,0
ARROZ,Primavera,95,P1,Si,Rojiza,Longitudinal,Enferma,1
ARROZ,Otonio,115,O1,Si,Rojiza,Longitudinal,Enferma,1
ARROZ,Verano,109,V0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Otonio,109,O1,Si,Amarilla,NoLesion,Enferma,1
MAIZ,Verano,103,V1,Si,Verde,Circular,Enferma,1
MAIZ,Primavera,67,P1,Si,Amarilla,Ovalado,Enferma,1
MAIZ,Invierno,34,I0,No,Amarronada,NoLesion,NoEnferma,0
ARROZ,Otonio,91,O0,Si,Rojiza,Ovalado,NoEnferma,0
ARROZ,Invierno,34,I1,Si,Verde,Ovalado,Enferma,1
ARROZ,Verano,91,V1,Si,Amarronada,Circular,Enferma,1
MAIZ,Primavera,50,P1,Si,Amarronada,Ovalado,Enferma,1
MAIZ,Primavera,66,P1,Si,Rojiza,NoLesion,Enferma,1
MAIZ,Primavera,94,P1,Si,Amarronada,NoLesion,Enferma,1
MAIZ,Primavera,49,P0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Invierno,38,I1,Si,Amarilla,Longitudinal,Enferma,1
MAIZ,Otonio,105,O1,Si,Rojiza,Longitudinal,Enferma,1
MAIZ,Verano,97,V1,Si,Rojiza,NoLesion,Enferma,1
MAIZ,Invierno,30,I0,No,Verde,NoLesion,NoEnferma,0
ARROZ,Otonio,117,O1,Si,Rojiza,NoLesion,Enferma,1
ARROZ,Otonio,101,O0,No,Rojiza,NoLesion,NoEnferma,0
MAIZ,Verano,90,V1,Si,Verde,Circular,Enferma,1
ARROZ,Otonio,51,O0,Si,Amarronada,Circular,NoEnferma,0
ARROZ,Invierno,32,I0,No,Amarilla,Ovalado,NoEnferma,0
MAIZ,Otonio,81,O0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Primavera,50,P0,Si,Amarilla,NoLesion,NoEnferma,0
MAIZ,Verano,103,V0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Invierno,36,I1,No,Amarilla,Longitudinal,Enferma,1
ARROZ,Otonio,75,O0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Otonio,60,O0,No,Amarilla,Longitudinal,NoEnferma,0
MAIZ,Invierno,33,I0,No,Rojiza,NoLesion,NoEnferma,0
MAIZ,Primavera,64,P1,Si,Amarilla,NoLesion,Enferma,1
MAIZ,Invierno,38,I0,Si,Amarronada,Ovalado,NoEnferma,0
MAIZ,Primavera,47,P1,Si,Rojiza,Ovalado,Enferma,1
MAIZ,Otonio,43,O1,Si,Amarronada,NoLesion,Enferma,1
MAIZ,Otonio,88,O1,No,Verde,NoLesion,Enferma,1
ARROZ,Primavera,75,P1,Si,Verde,Ovalado,Enferma,1
ARROZ,Otonio,67,O0,No,Rojiza,NoLesion,NoEnferma,0
MAIZ,Invierno,39,I0,No,Amarilla,Longitudinal,NoEnferma,0
ARROZ,Primavera,63,P0,No,Rojiza,NoLesion,NoEnferma,0
ARROZ,Primavera,71,P1,Si,Rojiza,Circular,Enferma,1
ARROZ,Otonio,35,O0,No,Amarilla,NoLesion,NoEnferma,0
MAIZ,Primavera,71,P0,Si,Verde,Longitudinal,NoEnferma,0
MAIZ,Verano,103,V0,Si,Verde,NoLesion,NoEnferma,0
ARROZ,Invierno,34,I1,Si,Amarronada,NoLesion,Enferma,1
ARROZ,Invierno,33,I1,No,Amarilla,NoLesion,Enferma,1
MAIZ,Verano,99,V1,Si,Rojiza,Longitudinal,Enferma,1
MAIZ,Verano,101,V1,No,Amarilla,Ovalado,Enferma,1
ARROZ,Invierno,34,I0,No,Amarronada,NoLesion,NoEnferma,0
MAIZ,Otonio,36,O1,Si,Amarilla,NoLesion,Enferma,1
ARROZ,Verano,103,V1,Si,Rojiza,NoLesion,Enferma,1
ARROZ,Otonio,84,O0,No,Amarilla,NoLesion,NoEnferma,0
MAIZ,Otonio,87,O1,Si,Amarilla,Longitudinal,Enferma,1
ARROZ,Otonio,102,O0,Si,Amarilla,NoLesion,NoEnferma,0
MAIZ,Invierno,30,I0,Si,Amarilla,NoLesion,NoEnferma,0
MAIZ,Otonio,65,O0,No,Rojiza,NoLesion,NoEnferma,0
MAIZ,Otonio,70,O0,Si,Rojiza,Circular,NoEnferma,0
ARROZ,Otonio,46,O0,Si,Rojiza,NoLesion,NoEnferma,0
MAIZ,Verano,104,V1,No,Verde,Circular,Enferma,1
ARROZ,Verano,90,V0,Si,Verde,NoLesion,NoEnferma,0
ARROZ,Primavera,72,P1,No,Amarilla,Ovalado,Enferma,1
MAIZ,Invierno,40,I1,Si,Amarilla,Longitudinal,Enferma,1
MAIZ,Otonio,122,O0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Verano,97,V1,Si,Rojiza,Ovalado,Enferma,1
ARROZ,Invierno,32,I0,No,Verde,NoLesion,NoEnferma,0
MAIZ,Primavera,98,P0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Verano,107,V1,Si,Amarronada,Ovalado,Enferma,1
MAIZ,Primavera,56,P1,Si,Rojiza,Ovalado,Enferma,1
MAIZ,Invierno,37,I0,No,Rojiza,Longitudinal,NoEnferma,0
ARROZ,Verano,99,V1,Si,Verde,Circular,Enferma,1
MAIZ,Verano,107,V1,Si,Rojiza,Ovalado,Enferma,1
MAIZ,Otonio,101,O0,Si,Amarilla,Longitudinal,NoEnferma,0
MAIZ,Primavera,52,P1,Si,Amarilla,NoLesion,Enferma,1
MAIZ,Otonio,120,O0,Si,Amarilla,NoLesion,NoEnferma,0
ARROZ,Otonio,106,O0,Si,Amarilla,NoLesion,NoEnferma,0
MAIZ,Otonio,62,O1,Si,Amarronada,Ovalado,Enferma,1
ARROZ,Invierno,35,I1,Si,Verde,NoLesion,Enferma,1
MAIZ,Verano,92,V1,Si,Verde,Ovalado,Enferma,1
MAIZ,Otonio,110,O1,Si,Amarronada,Circular,Enferma,1
ARROZ,Invierno,32,I1,No,Amarilla,NoLesion,Enferma,1
MAIZ,Invierno,40,I1,Si,Verde,Ovalado,Enferma,1
ARROZ,Primavera,62,P0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Otonio,113,O0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Primavera,88,P1,Si,Amarilla,Circular,Enferma,1
ARROZ,Primavera,46,P1,Si,Amarronada,Longitudinal,Enferma,1
MAIZ,Verano,101,V0,No,Verde,Circular,NoEnferma,0
MAIZ,Otonio,44,O1,Si,Rojiza,NoLesion,Enferma,1
MAIZ,Otonio,106,O0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Otonio,84,O1,Si,Amarilla,Circular,Enferma,1
MAIZ,Invierno,30,I1,Si,Amarronada,Ovalado,Enferma,1
MAIZ,Verano,104,V0,Si,Amarilla,NoLesion,NoEnferma,0
ARROZ,Invierno,32,I0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Invierno,33,I1,Si,Amarronada,Longitudinal,Enferma,1
ARROZ,Primavera,76,P1,Si,Verde,Ovalado,Enferma,1
ARROZ,Otonio,39,O1,Si,Rojiza,Ovalado,Enferma,1
MAIZ,Invierno,32,I1,Si,Rojiza,NoLesion,Enferma,1
ARROZ,Verano,108,V1,Si,Rojiza,Circular,Enferma,1
ARROZ,Primavera,49,P0,Si,Amarilla,NoLesion,NoEnferma,0
ARROZ,Otonio,85,O1,Si,Amarilla,Circular,Enferma,1
ARROZ,Otonio,81,O0,No,Amarilla,NoLesion,NoEnferma,0
MAIZ,Verano,109,V0,Si,Amarilla,Ovalado,NoEnferma,0
ARROZ,Verano,94,V1,Si,Rojiza,Circular,Enferma,1
ARROZ,Invierno,30,I1,No,Rojiza,NoLesion,Enferma,1
MAIZ,Invierno,34,I0,No,Verde,NoLesion,NoEnferma,0
ARROZ,Verano,92,V0,Si,Amarronada,NoLesion,NoEnferma,0
MAIZ,Verano,97,V1,Si,Verde,Ovalado,Enferma,1
ARROZ,Primavera,57,P0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Primavera,67,P0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Otonio,86,O0,Si,Verde,Circular,NoEnferma,0
ARROZ,Verano,91,V1,Si,Amarilla,Ovalado,Enferma,1
MAIZ,Primavera,94,P1,No,Verde,Ovalado,Enferma,1
ARROZ,Invierno,36,I1,No,Rojiza,NoLesion,Enferma,1
ARROZ,Primavera,55,P0,Si,Verde,Ovalado,NoEnferma,0
ARROZ,Otonio,105,O1,Si,Rojiza,Ovalado,Enferma,1
ARROZ,Otonio,56,O1,No,Amarronada,Ovalado,Enferma,1
MAIZ,Otonio,69,O1,Si,Rojiza,Ovalado,Enferma,1
MAIZ,Primavera,58,P1,Si,Rojiza,Ovalado,Enferma,1
ARROZ,Verano,100,V1,Si,Amarronada,NoLesion,Enferma,1
ARROZ,Primavera,60,P1,No,Amarronada,Circular,Enferma,1
ARROZ,Invierno,35,I0,No,Rojiza,Ovalado,NoEnferma,0
MAIZ,Otonio,39,O0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Invierno,40,I1,Si,Rojiza,Circular,Enferma,1
ARROZ,Invierno,30,I1,Si,Rojiza,Circular,Enferma,1
MAIZ,Verano,92,V1,Si,Rojiza,Ovalado,Enferma,1
ARROZ,Primavera,94,P0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Otonio,118,O1,Si,Verde,NoLesion,Enferma,1
