TIPO DE PLANTA;¿Esta rota la hoja de la planta?;Milímetros Acumulado desde siembra;Coloración Hoja;Estación;Forma Lesión;¿Esta enferma?
MAIZ;0;127;Rojiza;Primavera;Circular;1
ARROZ;1;268;Amarronada;Primavera;Ovalado;0
MAIZ;1;265;Rojiza;Invierno;Longitudinal;1
ARROZ;0;118;Rojiza;Otoño;Ovalado;0
MAIZ;1;171;Rojiza;Otoño;Longitudinal;0
MAIZ;0;191;Verde;Otoño;Longitudinal;0
MAIZ;1;113;Amarronada;Otoño;Ovalado;0
ARROZ;0;266;Amarilla;Verano;Circular;0
MAIZ;0;300;Amarilla;Otoño;Longitudinal;0
MAIZ;1;50;Rojiza;Verano;Ovalado;1
ARROZ;1;62;Amarilla;Invierno;Circular;0
ARROZ;0;281;Verde;Primavera;Longitudinal;0
ARROZ;0;263;Verde;Invierno;Longitudinal;1
ARROZ;0;253;Amarronada;Otoño;Longitudinal;1
ARROZ;1;239;Verde;Verano;Longitudinal;1
MAIZ;0;172;Rojiza;Invierno;Circular;1
MAIZ;1;13;Amarilla;Invierno;Ovalado;0
MAIZ;1;124;Amarronada;Verano;Ovalado;1
MAIZ;0;249;Amarilla;Primavera;Circular;0
MAIZ;1;132;Verde;Primavera;Ovalado;0
MAIZ;1;259;Amarronada;Verano;Longitudinal;1
MAIZ;0;237;Amarilla;Primavera;Longitudinal;0
ARROZ;0;137;Verde;Invierno;Circular;1
MAIZ;0;234;Rojiza;Verano;Ovalado;1
MAIZ;0;122;Verde;Verano;Longitudinal;0
MAIZ;1;16;Verde;Otoño;Circular;1
ARROZ;0;239;Verde;Invierno;Ovalado;0
MAIZ;0;70;Amarronada;Primavera;Ovalado;1
MAIZ;1;133;Amarronada;Verano;Longitudinal;1
MAIZ;0;100;Rojiza;Invierno;Ovalado;1
ARROZ;1;34;Amarilla;Otoño;Longitudinal;1
MAIZ;1;295;Verde;Invierno;Longitudinal;0
MAIZ;1;204;Amarilla;Primavera;Ovalado;1
MAIZ;1;232;Amarronada;Invierno;Ovalado;1
ARROZ;0;27;Rojiza;Primavera;Ovalado;0
MAIZ;0;155;Rojiza;Verano;Ovalado;0
ARROZ;0;287;Verde;Otoño;Circular;0
MAIZ;1;226;Amarilla;Verano;Ovalado;0
MAIZ;0;20;Amarronada;Verano;Ovalado;1
ARROZ;1;178;Rojiza;Otoño;Ovalado;1
ARROZ;1;11;Verde;Invierno;Ovalado;0
ARROZ;1;155;Amarronada;Invierno;Ovalado;0
ARROZ;0;262;Rojiza;Primavera;Circular;1
MAIZ;1;260;Rojiza;Primavera;Ovalado;0
MAIZ;1;158;Amarronada;Verano;Circular;0
ARROZ;0;145;Amarilla;Invierno;Longitudinal;1
ARROZ;1;72;Amarronada;Invierno;Circular;0
ARROZ;0;113;Rojiza;Verano;Longitudinal;0
ARROZ;1;97;Rojiza;Invierno;Circular;0
MAIZ;1;273;Verde;Otoño;Circular;1
MAIZ;1;90;Amarilla;Otoño;Circular;0
ARROZ;0;84;Verde;Primavera;Circular;1
MAIZ;1;211;Rojiza;Primavera;Circular;0
ARROZ;0;298;Amarronada;Primavera;Circular;0
MAIZ;0;239;Rojiza;Verano;Circular;1
MAIZ;1;63;Verde;Verano;Circular;0
ARROZ;1;219;Rojiza;Invierno;Longitudinal;0
ARROZ;1;66;Amarilla;Primavera;Circular;1
MAIZ;1;35;Amarronada;Otoño;Longitudinal;1
MAIZ;0;55;Amarronada;Otoño;Ovalado;1
ARROZ;0;98;Rojiza;Primavera;Circular;1
ARROZ;0;138;Verde;Otoño;Circular;1
ARROZ;1;11;Amarronada;Primavera;Circular;1
ARROZ;0;79;Rojiza;Otoño;Ovalado;1
MAIZ;1;197;Amarronada;Primavera;Longitudinal;1
ARROZ;1;92;Verde;Otoño;Circular;1
ARROZ;0;124;Amarronada;Invierno;Longitudinal;0
MAIZ;0;29;Verde;Otoño;Ovalado;1
ARROZ;0;268;Amarronada;Primavera;Circular;1
MAIZ;1;102;Amarronada;Otoño;Ovalado;1
MAIZ;0;208;Amarronada;Primavera;Ovalado;0
ARROZ;1;277;Rojiza;Invierno;Ovalado;0
ARROZ;1;208;Amarronada;Invierno;Circular;0
MAIZ;0;28;Amarronada;Verano;Longitudinal;1
MAIZ;0;69;Rojiza;Verano;Longitudinal;1
MAIZ;1;296;Amarronada;Primavera;Circular;0
MAIZ;0;259;Verde;Verano;Ovalado;1
ARROZ;0;19;Amarilla;Invierno;Longitudinal;0
MAIZ;1;254;Amarilla;Primavera;Ovalado;1
MAIZ;1;19;Rojiza;Verano;Ovalado;0
MAIZ;0;215;Amarronada;Invierno;Longitudinal;0
ARROZ;0;183;Amarilla;Verano;Longitudinal;1
MAIZ;0;292;Amarilla;Otoño;Longitudinal;1
MAIZ;0;122;Verde;Invierno;Longitudinal;0
ARROZ;0;210;Verde;Otoño;Circular;0
ARROZ;0;110;Verde;Primavera;Longitudinal;0
ARROZ;0;26;Rojiza;Otoño;Longitudinal;0
MAIZ;0;149;Rojiza;Invierno;Circular;1
ARROZ;0;179;Amarronada;Verano;Ovalado;0
MAIZ;1;179;Verde;Primavera;Ovalado;0
MAIZ;1;224;Rojiza;Invierno;Ovalado;0
ARROZ;0;0;Rojiza;Invierno;Circular;0
ARROZ;1;181;Amarilla;Verano;Circular;0
ARROZ;0;23;Rojiza;Primavera;Circular;0
MAIZ;1;208;Amarronada;Primavera;Circular;0
ARROZ;0;190;Amarronada;Verano;Ovalado;0
ARROZ;0;6;Amarilla;Verano;Circular;1
ARROZ;0;56;Verde;Otoño;Ovalado;1
MAIZ;1;32;Amarronada;Otoño;Ovalado;1
ARROZ;0;284;Amarilla;Invierno;Longitudinal;1
ARROZ;0;49;Rojiza;Invierno;Longitudinal;1
MAIZ;0;97;Amarilla;Primavera;Ovalado;1
ARROZ;0;249;Amarronada;Verano;Ovalado;0
ARROZ;0;225;Rojiza;Primavera;Longitudinal;0
MAIZ;0;106;Verde;Primavera;Longitudinal;1
ARROZ;1;69;Amarronada;Otoño;Circular;1
MAIZ;0;259;Verde;Verano;Longitudinal;1
ARROZ;1;126;Amarilla;Otoño;Longitudinal;0
MAIZ;0;138;Amarronada;Invierno;Ovalado;1
ARROZ;1;141;Amarilla;Verano;Longitudinal;0
MAIZ;0;50;Amarilla;Verano;Longitudinal;1
ARROZ;0;128;Amarilla;Verano;Circular;0
ARROZ;0;194;Rojiza;Verano;Circular;0
ARROZ;0;60;Rojiza;Invierno;Ovalado;0
ARROZ;1;250;Rojiza;Invierno;Ovalado;1
ARROZ;0;64;Amarronada;Invierno;Longitudinal;0
MAIZ;1;88;Rojiza;Primavera;Circular;0
MAIZ;0;77;Amarronada;Primavera;Circular;1
ARROZ;1;114;Verde;Otoño;Longitudinal;1
ARROZ;1;291;Verde;Otoño;Ovalado;1
ARROZ;0;35;Rojiza;Primavera;Ovalado;1
MAIZ;1;239;Amarilla;Verano;Longitudinal;1
MAIZ;0;243;Verde;Invierno;Ovalado;0
MAIZ;1;292;Verde;Primavera;Longitudinal;0
ARROZ;1;180;Verde;Primavera;Ovalado;0
MAIZ;0;295;Rojiza;Invierno;Ovalado;0
ARROZ;0;118;Rojiza;Verano;Longitudinal;0
MAIZ;0;266;Amarronada;Invierno;Longitudinal;0
MAIZ;1;232;Rojiza;Primavera;Ovalado;1
MAIZ;0;201;Amarilla;Otoño;Longitudinal;0
ARROZ;0;22;Amarronada;Invierno;Circular;1
ARROZ;1;236;Amarronada;Verano;Circular;0
MAIZ;0;67;Amarilla;Verano;Circular;0
ARROZ;1;201;Verde;Primavera;Ovalado;0
MAIZ;0;105;Rojiza;Invierno;Circular;1
MAIZ;0;248;Verde;Otoño;Longitudinal;0
MAIZ;0;297;Verde;Primavera;Circular;1
MAIZ;1;264;Amarronada;Invierno;Longitudinal;0
MAIZ;1;61;Rojiza;Invierno;Longitudinal;0
ARROZ;1;18;Amarilla;Otoño;Longitudinal;1
MAIZ;1;178;Amarronada;Otoño;Ovalado;0
ARROZ;1;166;Amarilla;Otoño;Longitudinal;1
ARROZ;1;210;Rojiza;Invierno;Longitudinal;1
MAIZ;0;134;Verde;Otoño;Longitudinal;0
MAIZ;0;53;Verde;Invierno;Circular;1
ARROZ;1;3;Amarronada;Otoño;Ovalado;0
MAIZ;1;7;Rojiza;Otoño;Longitudinal;0
MAIZ;1;270;Verde;Verano;Longitudinal;0
ARROZ;1;294;Verde;Otoño;Ovalado;0
ARROZ;1;105;Amarronada;Otoño;Circular;1
MAIZ;1;263;Rojiza;Verano;Circular;1
MAIZ;0;49;Verde;Invierno;Circular;1
MAIZ;0;279;Verde;Otoño;Ovalado;1
ARROZ;0;21;Verde;Primavera;Longitudinal;0
MAIZ;1;292;Verde;Primavera;Ovalado;1
ARROZ;0;131;Rojiza;Verano;Circular;1
ARROZ;1;116;Amarilla;Otoño;Circular;1
MAIZ;0;39;Rojiza;Primavera;Circular;1
MAIZ;1;118;Amarronada;Primavera;Circular;1
MAIZ;1;228;Amarilla;Invierno;Longitudinal;0
ARROZ;0;54;Amarronada;Verano;Longitudinal;1
MAIZ;0;172;Amarronada;Otoño;Circular;0
MAIZ;0;62;Amarronada;Primavera;Circular;1
ARROZ;0;253;Amarronada;Otoño;Ovalado;0
MAIZ;0;84;Rojiza;Otoño;Circular;0
ARROZ;0;235;Verde;Primavera;Longitudinal;1
ARROZ;0;133;Rojiza;Otoño;Circular;0
ARROZ;0;76;Verde;Verano;Circular;0
MAIZ;0;112;Rojiza;Otoño;Circular;1
ARROZ;1;132;Verde;Primavera;Longitudinal;0
ARROZ;0;69;Verde;Verano;Ovalado;0
MAIZ;1;282;Rojiza;Otoño;Ovalado;0
MAIZ;1;186;Amarronada;Primavera;Ovalado;1
MAIZ;1;100;Verde;Invierno;Ovalado;1
ARROZ;0;63;Amarronada;Otoño;Longitudinal;0
MAIZ;0;175;Amarilla;Otoño;Ovalado;0
ARROZ;1;171;Amarilla;Invierno;Longitudinal;1
ARROZ;1;195;Rojiza;Invierno;Ovalado;0
ARROZ;1;256;Amarilla;Otoño;Ovalado;1
ARROZ;1;198;Verde;Primavera;Longitudinal;0
ARROZ;0;298;Verde;Invierno;Circular;1
ARROZ;1;205;Amarronada;Verano;Circular;1
ARROZ;0;172;Amarronada;Verano;Longitudinal;1
MAIZ;1;281;Rojiza;Otoño;Longitudinal;0
ARROZ;1;19;Verde;Otoño;Circular;0
MAIZ;1;218;Amarronada;Verano;Circular;0
ARROZ;1;226;Verde;Otoño;Longitudinal;1
ARROZ;1;233;Rojiza;Invierno;Longitudinal;1
ARROZ;1;232;Verde;Primavera;Ovalado;1
ARROZ;1;143;Amarronada;Invierno;Ovalado;1
MAIZ;0;262;Amarronada;Verano;Ovalado;0
MAIZ;0;248;Verde;Verano;Circular;1
ARROZ;1;284;Amarilla;Primavera;Circular;0
ARROZ;1;150;Amarronada;Otoño;Circular;0
ARROZ;0;7;Verde;Verano;Longitudinal;1
MAIZ;0;191;Amarilla;Primavera;Ovalado;1
MAIZ;0;180;Amarronada;Invierno;Longitudinal;0
MAIZ;0;45;Rojiza;Invierno;Ovalado;1
ARROZ;1;271;Rojiza;Primavera;Longitudinal;1
MAIZ;1;65;Rojiza;Verano;Circular;0
ARROZ;0;173;Amarronada;Invierno;Ovalado;1
ARROZ;0;237;Amarilla;Verano;Ovalado;0
MAIZ;0;118;Amarilla;Verano;Longitudinal;1
MAIZ;0;256;Verde;Invierno;Longitudinal;1
ARROZ;1;187;Amarilla;Verano;Ovalado;1
MAIZ;1;138;Amarronada;Invierno;Longitudinal;0
ARROZ;0;100;Amarilla;Invierno;Longitudinal;0
ARROZ;1;92;Amarilla;Otoño;Ovalado;1
ARROZ;1;19;Amarronada;Invierno;Longitudinal;1
ARROZ;1;254;Amarronada;Invierno;Longitudinal;0
ARROZ;1;5;Verde;Otoño;Circular;0
ARROZ;0;35;Verde;Invierno;Circular;0
MAIZ;0;85;Amarronada;Primavera;Ovalado;0
ARROZ;0;278;Amarronada;Invierno;Circular;1
ARROZ;0;56;Rojiza;Verano;Circular;0
ARROZ;0;237;Rojiza;Primavera;Circular;1
MAIZ;0;19;Rojiza;Invierno;Longitudinal;0
MAIZ;1;237;Amarilla;Verano;Longitudinal;1
ARROZ;0;23;Amarilla;Verano;Longitudinal;1
ARROZ;1;202;Amarronada;Otoño;Ovalado;1
MAIZ;1;174;Amarilla;Verano;Longitudinal;0
MAIZ;1;12;Amarronada;Primavera;Longitudinal;0
MAIZ;1;39;Rojiza;Primavera;Circular;1
MAIZ;0;198;Rojiza;Primavera;Ovalado;1
ARROZ;1;182;Amarilla;Verano;Circular;1
MAIZ;0;105;Amarronada;Otoño;Longitudinal;1
ARROZ;1;161;Verde;Primavera;Longitudinal;1
MAIZ;0;22;Verde;Primavera;Circular;0
ARROZ;1;30;Amarronada;Verano;Circular;0
ARROZ;0;75;Verde;Verano;Longitudinal;0
ARROZ;1;197;Rojiza;Otoño;Circular;1
ARROZ;0;285;Amarilla;Primavera;Longitudinal;0
MAIZ;1;210;Rojiza;Invierno;Ovalado;0
MAIZ;1;180;Amarronada;Primavera;Circular;1
MAIZ;1;238;Amarilla;Otoño;Longitudinal;1
MAIZ;0;76;Verde;Primavera;Ovalado;0
ARROZ;0;88;Amarronada;Invierno;Circular;1
MAIZ;0;277;Verde;Primavera;Circular;0
MAIZ;0;123;Verde;Invierno;Circular;0
ARROZ;0;272;Rojiza;Primavera;Ovalado;1
MAIZ;1;279;Rojiza;Primavera;Circular;1
ARROZ;0;177;Verde;Primavera;Longitudinal;1
MAIZ;0;36;Amarronada;Otoño;Ovalado;0
MAIZ;1;9;Verde;Invierno;Longitudinal;0
ARROZ;1;210;Rojiza;Invierno;Circular;0
MAIZ;0;265;Verde;Invierno;Longitudinal;0
ARROZ;0;89;Amarronada;Verano;Longitudinal;1
ARROZ;1;145;Amarronada;Verano;Circular;0
ARROZ;1;99;Verde;Invierno;Ovalado;1
MAIZ;1;290;Rojiza;Verano;Ovalado;0
ARROZ;0;27;Rojiza;Invierno;Ovalado;1
ARROZ;0;188;Rojiza;Invierno;Longitudinal;0
ARROZ;0;45;Rojiza;Otoño;Circular;1
MAIZ;1;78;Rojiza;Primavera;Ovalado;1
MAIZ;1;21;Amarronada;Invierno;Longitudinal;0
MAIZ;0;73;Rojiza;Primavera;Circular;0
ARROZ;0;70;Amarronada;Invierno;Circular;1
ARROZ;1;9;Amarilla;Primavera;Circular;0
MAIZ;0;112;Amarronada;Primavera;Longitudinal;0
ARROZ;1;226;Verde;Invierno;Longitudinal;1
MAIZ;0;51;Amarronada;Invierno;Ovalado;1
ARROZ;1;201;Amarronada;Invierno;Longitudinal;1
ARROZ;0;159;Verde;Primavera;Ovalado;0
ARROZ;0;286;Rojiza;Otoño;Circular;0
ARROZ;0;253;Verde;Otoño;Circular;1
ARROZ;0;266;Rojiza;Verano;Longitudinal;0
MAIZ;1;190;Verde;Invierno;Longitudinal;1
MAIZ;0;111;Amarronada;Otoño;Ovalado;0
ARROZ;0;20;Amarilla;Invierno;Circular;1
MAIZ;0;299;Rojiza;Otoño;Longitudinal;1
ARROZ;1;174;Amarronada;Verano;Circular;0
ARROZ;1;145;Amarilla;Primavera;Ovalado;1
MAIZ;1;225;Verde;Verano;Circular;1
ARROZ;0;142;Rojiza;Primavera;Circular;0
MAIZ;0;125;Amarilla;Verano;Longitudinal;0
MAIZ;0;69;Amarronada;Otoño;Ovalado;0
MAIZ;0;131;Amarronada;Otoño;Longitudinal;1
ARROZ;0;85;Verde;Primavera;Circular;0
ARROZ;1;224;Amarronada;Invierno;Longitudinal;1
MAIZ;0;267;Rojiza;Otoño;Ovalado;0
MAIZ;0;216;Verde;Invierno;Longitudinal;0
ARROZ;0;233;Amarronada;Primavera;Ovalado;1
ARROZ;0;67;Amarronada;Primavera;Circular;0
MAIZ;0;209;Rojiza;Otoño;Ovalado;0
ARROZ;1;35;Amarilla;Primavera;Circular;1
MAIZ;0;169;Amarronada;Primavera;Longitudinal;0
MAIZ;0;272;Amarronada;Primavera;Ovalado;0
ARROZ;0;194;Rojiza;Otoño;Longitudinal;0
ARROZ;0;97;Amarilla;Otoño;Ovalado;0
ARROZ;1;144;Verde;Invierno;Ovalado;1
ARROZ;1;47;Amarronada;Verano;Circular;0
ARROZ;1;156;Rojiza;Otoño;Ovalado;0
ARROZ;1;225;Verde;Invierno;Circular;1
ARROZ;1;159;Verde;Otoño;Ovalado;0
ARROZ;0;87;Amarilla;Otoño;Longitudinal;1
MAIZ;1;143;Rojiza;Primavera;Ovalado;0
MAIZ;0;101;Verde;Invierno;Ovalado;1
ARROZ;1;240;Amarilla;Otoño;Longitudinal;1
ARROZ;0;268;Amarronada;Invierno;Circular;1
MAIZ;1;178;Verde;Primavera;Ovalado;0
MAIZ;0;155;Amarronada;Otoño;Longitudinal;0
ARROZ;0;139;Amarronada;Otoño;Circular;0
ARROZ;1;34;Amarilla;Invierno;Ovalado;1
MAIZ;0;84;Verde;Otoño;Circular;1
ARROZ;0;297;Amarronada;Invierno;Longitudinal;0
ARROZ;1;95;Amarronada;Verano;Longitudinal;0
MAIZ;1;239;Amarilla;Otoño;Longitudinal;1
ARROZ;1;241;Verde;Primavera;Longitudinal;1
ARROZ;1;226;Amarilla;Primavera;Ovalado;1
MAIZ;0;240;Amarilla;Otoño;Longitudinal;0
MAIZ;0;88;Verde;Invierno;Longitudinal;1
ARROZ;0;22;Amarronada;Otoño;Ovalado;0
MAIZ;0;126;Amarilla;Verano;Longitudinal;1
ARROZ;1;4;Amarilla;Otoño;Circular;0
MAIZ;0;145;Amarilla;Invierno;Longitudinal;0
MAIZ;1;153;Amarilla;Otoño;Ovalado;1
ARROZ;1;122;Verde;Verano;Ovalado;0
ARROZ;0;59;Amarilla;Otoño;Longitudinal;0
MAIZ;1;35;Amarilla;Invierno;Ovalado;0
MAIZ;1;274;Amarronada;Otoño;Longitudinal;0
MAIZ;1;297;Rojiza;Otoño;Circular;1
ARROZ;1;261;Amarilla;Primavera;Ovalado;0
ARROZ;0;35;Amarilla;Invierno;Ovalado;0
MAIZ;0;94;Rojiza;Verano;Circular;1
MAIZ;1;192;Rojiza;Otoño;Ovalado;0
MAIZ;1;33;Amarronada;Otoño;Circular;0
MAIZ;0;277;Amarilla;Primavera;Circular;1
MAIZ;1;73;Rojiza;Otoño;Longitudinal;0
ARROZ;0;74;Rojiza;Invierno;Longitudinal;1
MAIZ;1;207;Amarronada;Verano;Longitudinal;0
ARROZ;0;77;Rojiza;Invierno;Ovalado;1
MAIZ;1;30;Amarilla;Primavera;Longitudinal;0
ARROZ;1;298;Amarronada;Primavera;Longitudinal;1
ARROZ;0;20;Rojiza;Primavera;Longitudinal;0
MAIZ;0;8;Verde;Invierno;Longitudinal;0
ARROZ;0;59;Amarronada;Invierno;Longitudinal;0
ARROZ;1;227;Verde;Invierno;Longitudinal;0
ARROZ;0;10;Verde;Primavera;Circular;1
ARROZ;1;13;Amarilla;Primavera;Ovalado;1
MAIZ;0;162;Verde;Otoño;Ovalado;0
MAIZ;1;268;Amarronada;Otoño;Longitudinal;0
MAIZ;0;88;Amarilla;Otoño;Ovalado;1
MAIZ;0;157;Amarilla;Otoño;Circular;0
MAIZ;0;197;Verde;Primavera;Circular;0
MAIZ;1;12;Amarronada;Verano;Longitudinal;1
MAIZ;0;123;Rojiza;Otoño;Ovalado;1
ARROZ;0;9;Amarronada;Verano;Ovalado;0
ARROZ;1;156;Amarronada;Invierno;Ovalado;1
ARROZ;0;151;Amarronada;Primavera;Circular;0
MAIZ;1;99;Rojiza;Primavera;Circular;1
ARROZ;1;210;Verde;Invierno;Longitudinal;1
MAIZ;1;70;Amarilla;Verano;Ovalado;0
MAIZ;1;106;Rojiza;Invierno;Circular;0
MAIZ;0;36;Verde;Otoño;Ovalado;1
MAIZ;1;291;Amarilla;Primavera;Longitudinal;0
ARROZ;1;64;Amarronada;Verano;Ovalado;0
MAIZ;0;28;Amarronada;Primavera;Circular;1
ARROZ;1;227;Verde;Otoño;Longitudinal;1
MAIZ;1;45;Rojiza;Invierno;Ovalado;1
MAIZ;0;129;Amarronada;Primavera;Circular;1
MAIZ;0;22;Amarronada;Primavera;Ovalado;0
ARROZ;1;119;Rojiza;Primavera;Ovalado;0
ARROZ;1;95;Verde;Invierno;Circular;1
ARROZ;0;225;Amarilla;Otoño;Circular;1
MAIZ;1;148;Verde;Otoño;Ovalado;0
MAIZ;1;68;Amarronada;Primavera;Longitudinal;1
MAIZ;1;268;Amarronada;Primavera;Longitudinal;1
ARROZ;1;172;Amarilla;Verano;Longitudinal;1
ARROZ;0;261;Rojiza;Verano;Circular;0
MAIZ;1;221;Amarilla;Invierno;Longitudinal;1
MAIZ;1;101;Amarronada;Primavera;Longitudinal;1
ARROZ;0;191;Amarilla;Primavera;Ovalado;1
ARROZ;1;96;Rojiza;Otoño;Longitudinal;1
ARROZ;1;113;Rojiza;Verano;Longitudinal;1
ARROZ;1;299;Amarronada;Invierno;Longitudinal;0
MAIZ;0;122;Rojiza;Otoño;Ovalado;0
ARROZ;0;295;Amarronada;Verano;Circular;0
ARROZ;0;169;Rojiza;Verano;Ovalado;1
ARROZ;0;298;Amarronada;Primavera;Longitudinal;0
ARROZ;0;151;Amarilla;Primavera;Circular;1
MAIZ;1;291;Amarronada;Otoño;Longitudinal;0
MAIZ;1;109;Verde;Verano;Ovalado;1
ARROZ;0;176;Amarilla;Primavera;Ovalado;0
ARROZ;0;109;Rojiza;Verano;Circular;0
MAIZ;0;76;Amarronada;Primavera;Ovalado;1
ARROZ;0;192;Verde;Verano;Circular;0
MAIZ;1;8;Verde;Primavera;Ovalado;0
MAIZ;1;229;Amarilla;Otoño;Circular;0
MAIZ;1;191;Amarilla;Otoño;Circular;0
MAIZ;0;6;Rojiza;Otoño;Circular;1
MAIZ;0;65;Rojiza;Verano;Longitudinal;0
MAIZ;0;258;Verde;Primavera;Circular;0
MAIZ;0;229;Verde;Verano;Longitudinal;1
ARROZ;0;246;Amarronada;Invierno;Ovalado;0
ARROZ;1;297;Amarronada;Primavera;Circular;0
ARROZ;1;53;Amarilla;Invierno;Longitudinal;0
MAIZ;1;251;Verde;Verano;Ovalado;1
MAIZ;0;292;Amarronada;Verano;Longitudinal;0
ARROZ;0;283;Rojiza;Otoño;Circular;0
ARROZ;1;69;Verde;Otoño;Ovalado;1
ARROZ;0;44;Amarilla;Otoño;Longitudinal;0
ARROZ;1;32;Amarilla;Invierno;Ovalado;1
ARROZ;1;295;Verde;Otoño;Longitudinal;0
MAIZ;1;186;Rojiza;Invierno;Circular;0
ARROZ;0;43;Rojiza;Otoño;Ovalado;0
MAIZ;1;44;Amarilla;Primavera;Ovalado;1
ARROZ;1;194;Amarronada;Primavera;Ovalado;0
ARROZ;1;28;Rojiza;Verano;Circular;0
MAIZ;0;8;Amarronada;Verano;Circular;1
MAIZ;1;33;Amarilla;Invierno;Longitudinal;1
ARROZ;1;150;Amarronada;Otoño;Circular;1
ARROZ;1;98;Amarronada;Verano;Circular;0
MAIZ;0;60;Rojiza;Otoño;Longitudinal;0
ARROZ;0;155;Verde;Verano;Ovalado;0
ARROZ;0;120;Verde;Verano;Ovalado;1
MAIZ;1;81;Amarilla;Invierno;Ovalado;1
MAIZ;1;37;Verde;Verano;Ovalado;0
ARROZ;1;87;Amarilla;Primavera;Longitudinal;0
MAIZ;1;179;Amarronada;Primavera;Circular;1
MAIZ;1;157;Rojiza;Verano;Circular;1
ARROZ;0;42;Verde;Verano;Ovalado;1
MAIZ;0;16;Rojiza;Invierno;Circular;1
ARROZ;0;275;Rojiza;Invierno;Circular;1
MAIZ;0;155;Amarilla;Primavera;Ovalado;0
ARROZ;1;274;Amarilla;Primavera;Longitudinal;1
MAIZ;1;209;Amarronada;Verano;Longitudinal;0
MAIZ;0;61;Amarronada;Verano;Longitudinal;1
ARROZ;1;67;Verde;Verano;Longitudinal;0
MAIZ;1;0;Rojiza;Otoño;Circular;1
MAIZ;1;53;Amarronada;Primavera;Ovalado;0
ARROZ;1;127;Amarilla;Otoño;Ovalado;1
ARROZ;1;230;Verde;Invierno;Longitudinal;0
